 "topic_name" , "topic_uri" , "event_uri" , "content_uri" ,
 "query string" , "https://dbpedia.org/resource/Query_string" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Description Logic" , "https://dbpedia.org/resource/Description_logic" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "DBpedia" , "https://dbpedia.org/resource/DBpedia" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Ontology language" , "https://dbpedia.org/resource/Ontology_language" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "rdfs" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "HTTP GET" , "https://dbpedia.org/resource/Hypertext_Transfer_Protocol" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "National Cancer Institute" , "https://dbpedia.org/resource/National_Cancer_Institute" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Semantic Web" , "https://dbpedia.org/resource/Semantic_Web" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "O'Reilly Media" , "http://dbpedia.org/resource/O'Reilly_Media" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "RDF Schema" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Worksheets/worksheet03.pdf" ,
 "Wikidata" , "https://dbpedia.org/resource/Wikidata" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Worksheets/worksheet03.pdf" ,
 "SPARQL" , "https://dbpedia.org/resource/SPARQL" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Worksheets/worksheet03.pdf" ,
 "DBpedia" , "https://dbpedia.org/resource/DBpedia" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Worksheets/worksheet03.pdf" ,
